2024-12-03 23:17:11 [http-nio-8080-exec-5] INFO  c.h.ticketing_system.model.Customer - Global stop for all purchases disabled.
2024-12-03 23:17:12 [http-nio-8080-exec-6] INFO  c.h.ticketing_system.model.Customer - Global stop for all purchases enabled.
2024-12-03 23:18:43 [Thread-9] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: URKA002 with purchase batch size: 5 (Thread ID: 60)
2024-12-03 23:18:43 [Thread-9] INFO  c.h.ticketing_system.model.Customer - Global stop enabled. Customer URKA002 thread will terminate. (Thread ID: 60)
2024-12-03 23:18:43 [Thread-9] INFO  c.h.ticketing_system.model.Customer - Thread:60 for customer with ID:URKA002 finished executing
2024-12-03 23:18:43 [Thread-9] INFO  c.h.ticketing_system.model.Customer - Thread completed for Vendor ID: URKA002 (Thread ID: 60)
2024-12-05 10:24:26 [Thread-7] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: URKA002 with purchase batch size: 5 (Thread ID: 97)
2024-12-05 10:24:26 [Thread-7] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 76 to the pool. Ticket No. of ticked booked in batch:1 
2024-12-05 10:24:29 [Thread-7] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 77 to the pool. Ticket No. of ticked booked in batch:2 
2024-12-05 10:25:30 [Thread-7] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 80 to the pool. Ticket No. of ticked booked in batch:3 
2024-12-05 10:25:33 [Thread-7] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 81 to the pool. Ticket No. of ticked booked in batch:4 
2024-12-05 10:25:36 [Thread-7] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 82 to the pool. Ticket No. of ticked booked in batch:5 
2024-12-05 10:25:39 [Thread-7] INFO  c.h.ticketing_system.model.Customer - Thread:97 for customer with ID:URKA002 finished executing
2024-12-05 10:25:39 [Thread-7] INFO  c.h.ticketing_system.model.Customer - Thread completed for Vendor ID: URKA002 (Thread ID: 97)
2024-12-05 10:25:39 [Thread-9] INFO  c.h.ticketing_system.model.Customer - Thread started for Customer ID: URKA002 with purchase batch size: 5 (Thread ID: 99)
2024-12-05 10:25:39 [Thread-9] INFO  c.h.ticketing_system.model.Customer - Successfully booked ticket ID: 83 to the pool. Ticket No. of ticked booked in batch:1 
